x,y,side
,,left
15.3785935,25.16055073,left
38.5635375,34.85236226,left
61.49431152,44.53852231,left
84.16821156,56.11236114,left
109.0912319,63.94094084,left
134.8184519,69.99707596,left
161.9838103,74.57541112,left
187.8783283,74.83520285,left
215.2712872,73.88935827,left
242.8464722,63.58309158,left
268.3631856,48.85743341,left
288.0300621,26.29290405,left
298.3925275,-1.414580998,left
305.8803183,-27.47983133,left
307.3890353,-54.41939171,left
307.9819112,-79.72229599,left
308.5647815,-104.9058962,left
307.7340162,-131.0699591,left
305.2911052,-156.6185963,left
302.494827,-181.4887076,left
300.1986744,-206.3851434,left
297.5747867,-231.6072025,left
291.2508728,-261.4024368,left
264.8645554,-283.6326116,left
228.0692932,-285.8955445,left
203.2986017,-257.8477274,left
200.4688374,-227.1924951,left
,,right
27.90547925,-4.280189042,right
51.05122081,4.923067824,right
74.40031754,14.31364459,right
97.42212528,23.18365349,right
119.309689,33.08704096,right
141.9096745,40.5910126,right
164.3279753,43.76746572,right
188.6212375,42.39570855,right
211.3231202,43.784147,right
231.2841168,36.7513002,right
246.878733,24.03879977,right
260.5165478,8.799266761,right
266.8394448,-10.83032081,right
272.4338095,-33.11558977,right
274.1141685,-56.22831751,right
275.1573581,-80.93643066,right
276.7155272,-105.7332995,right
278.1017045,-129.6357374,right
276.2191474,-154.0297285,right
273.9059954,-178.9199875,right
271.6056035,-203.7635669,right
269.0183701,-228.4446989,right
265.7543758,-248.0160315,right
250.3981577,-255.290075,right
238.8817009,-257.6385654,right
230.73643,-246.3150892,right
229.4653302,-226.8968422,right
